Index,Date,Year,Locality,Estimated Value,Sale Price,Property,Residential,num_rooms,num_bathrooms,carpet_area,property_tax_rate,Face
0,02-01-2009,2009,Waterbury,111440,185000,Single Family,Detached House,3,3,996,1.025953,South
1,02-01-2009,2009,Waterbury,50540,105000,Single Family,Detached House,3,1,951,1.025953,East
2,02-01-2009,2009,Bridgeport,4775276,272900,Single Family,Detached House,3,1,971,1.025953,East
3,03-01-2009,2009,Norwalk,172620,409000,?,Detached House,3,3,1004,1.025953,South
4,04-01-2009,2009,Norwalk,208880,370000,Single Family,Detached House,3,2,1063,1.025953,South
5,04-01-2009,2009,Waterbury,83300,220000,Two Family,Duplex,4,4,1471,1.025953,South
6,05-01-2009,2009,Greenwich,2095100,2860000,Single Family,Detached House,3,1,963,1.025953,East
7,05-01-2009,2009,Norwalk,186410,340000,Single Family,Detached House,3,2,933,1.025953,East
8,08-01-2009,2009,Waterbury,56070,75000,Two Family,Duplex,4,2,1373,1.025953,West
9,08-01-2009,2009,Bridgeport,160904,399900,Two Family,Duplex,4,2,1284,1.025953,East
10,08-01-2009,2009,Norwalk,342090,850000,Single Family,Detached House,3,1,914,1.025953,East
11,08-01-2009,2009,Bridgeport,71050,280000,Two Family,Duplex,4,3,1295,1.025953,East
12,08-01-2009,2009,Bridgeport,60483,144500,?,Detached House,3,1,1095,1.025953,East
13,09-01-2009,2009,Bridgeport,135870,362560,Two Family,Duplex,4,2,1338,1.025953,West
14,09-01-2009,2009,Norwalk,154210,412000,Single Family,Detached House,3,1,955,1.025953,South
15,10-01-2009,2009,Bridgeport,121870,305000,Three Family,Triplex,6,6,1817,1.025953,South
16,12-01-2009,2009,Greenwich,2215010,2925000,Single Family,Detached House,3,2,1065,1.025953,West
17,12-01-2009,2009,Greenwich,1017400,1052000,Single Family,Detached House,3,2,984,1.025953,East
18,16-01-2009,2009,Bridgeport,159460,384000,Three Family,Triplex,6,4,2131,1.025953,West
